exp_id,algorithm,alpha,participation_rate,final_accuracy,rounds_to_80pct,per_client_acc_mean,per_client_acc_std,per_client_acc_min,round_results
fedavg_alpha0.05_part0.2,fedavg,0.05,0.2,0.5776000022888184,999,0.6805262863636017,0.1806639727294093,0.365524023771286,"[{""round"": 1, ""accuracy"": 0.27469998598098755, ""loss"": 4.882119655609131}, {""round"": 3, ""accuracy"": 0.26930001378059387, ""loss"": 4.406789302825928}, {""round"": 6, ""accuracy"": 0.27730000019073486, ""loss"": 7.440218925476074}, {""round"": 9, ""accuracy"": 0.23929999768733978, ""loss"": 2.1255805492401123}, {""round"": 12, ""accuracy"": 0.21289999783039093, ""loss"": 3.570695638656616}, {""round"": 15, ""accuracy"": 0.41670000553131104, ""loss"": 2.6590051651000977}, {""round"": 18, ""accuracy"": 0.34209999442100525, ""loss"": 4.969849109649658}, {""round"": 21, ""accuracy"": 0.451200008392334, ""loss"": 1.7904503345489502}, {""round"": 24, ""accuracy"": 0.5361999869346619, ""loss"": 1.5460681915283203}, {""round"": 27, ""accuracy"": 0.6220999956130981, ""loss"": 1.7171833515167236}, {""round"": 30, ""accuracy"": 0.5776000022888184, ""loss"": 1.4211714267730713}]"
fedavg_alpha0.05_part0.5,fedavg,0.05,0.5,0.8112999796867371,18,0.8667394757270813,0.12824208924067723,0.6728808283805847,"[{""round"": 1, ""accuracy"": 0.3749000132083893, ""loss"": 2.646353244781494}, {""round"": 3, ""accuracy"": 0.2784000039100647, ""loss"": 2.242638349533081}, {""round"": 6, ""accuracy"": 0.5289999842643738, ""loss"": 1.4769259691238403}, {""round"": 9, ""accuracy"": 0.6499000191688538, ""loss"": 0.9393854737281799}, {""round"": 12, ""accuracy"": 0.734000027179718, ""loss"": 0.8683413863182068}, {""round"": 15, ""accuracy"": 0.6531000137329102, ""loss"": 0.9437915086746216}, {""round"": 18, ""accuracy"": 0.8738999962806702, ""loss"": 0.39812082052230835}, {""round"": 21, ""accuracy"": 0.8600000143051147, ""loss"": 0.36623987555503845}, {""round"": 24, ""accuracy"": 0.9174000024795532, ""loss"": 0.25118568539619446}, {""round"": 27, ""accuracy"": 0.9132000207901001, ""loss"": 0.26636356115341187}, {""round"": 30, ""accuracy"": 0.8112999796867371, ""loss"": 0.598362922668457}]"
fedavg_alpha0.05_part0.8,fedavg,0.05,0.8,0.9394000172615051,12,0.9454618334770203,0.04458779487892305,0.8320741653442383,"[{""round"": 1, ""accuracy"": 0.3050999939441681, ""loss"": 2.202413320541382}, {""round"": 3, ""accuracy"": 0.5317999720573425, ""loss"": 1.4202020168304443}, {""round"": 6, ""accuracy"": 0.6780999898910522, ""loss"": 0.8771035075187683}, {""round"": 9, ""accuracy"": 0.7815999984741211, ""loss"": 0.6878336668014526}, {""round"": 12, ""accuracy"": 0.8547999858856201, ""loss"": 0.3799961805343628}, {""round"": 15, ""accuracy"": 0.8389999866485596, ""loss"": 0.43205615878105164}, {""round"": 18, ""accuracy"": 0.9355000257492065, ""loss"": 0.20065832138061523}, {""round"": 21, ""accuracy"": 0.9086999893188477, ""loss"": 0.2633565664291382}, {""round"": 24, ""accuracy"": 0.9420999884605408, ""loss"": 0.17120294272899628}, {""round"": 27, ""accuracy"": 0.9545999765396118, ""loss"": 0.14607420563697815}, {""round"": 30, ""accuracy"": 0.9394000172615051, ""loss"": 0.17743133008480072}]"
fedavg_alpha0.05_part1.0,fedavg,0.05,1.0,0.9679999947547913,12,0.9631185114383698,0.023926079559344376,0.9079498052597046,"[{""round"": 1, ""accuracy"": 0.3034000098705292, ""loss"": 2.05987811088562}, {""round"": 3, ""accuracy"": 0.2574999928474426, ""loss"": 3.0187063217163086}, {""round"": 6, ""accuracy"": 0.7577999830245972, ""loss"": 0.656790554523468}, {""round"": 9, ""accuracy"": 0.7822999954223633, ""loss"": 0.5894566774368286}, {""round"": 12, ""accuracy"": 0.9388999938964844, ""loss"": 0.21113933622837067}, {""round"": 15, ""accuracy"": 0.9409999847412109, ""loss"": 0.19078898429870605}, {""round"": 18, ""accuracy"": 0.9585000276565552, ""loss"": 0.14191515743732452}, {""round"": 21, ""accuracy"": 0.9575999975204468, ""loss"": 0.14003892242908478}, {""round"": 24, ""accuracy"": 0.9627000093460083, ""loss"": 0.12459306418895721}, {""round"": 27, ""accuracy"": 0.9652000069618225, ""loss"": 0.11408589035272598}, {""round"": 30, ""accuracy"": 0.9679999947547913, ""loss"": 0.10255944728851318}]"
fedavg_alpha0.1_part0.2,fedavg,0.1,0.2,0.11949999630451202,999,0.17829395724693314,0.28217481630064606,0.0014056224608793855,"[{""round"": 1, ""accuracy"": 0.1476999968290329, ""loss"": 2.305595636367798}, {""round"": 3, ""accuracy"": 0.18629999458789825, ""loss"": 2.3411362171173096}, {""round"": 6, ""accuracy"": 0.15620000660419464, ""loss"": 3.820523738861084}, {""round"": 9, ""accuracy"": 0.29440000653266907, ""loss"": 2.3706507682800293}, {""round"": 12, ""accuracy"": 0.2581000030040741, ""loss"": 3.8062686920166016}, {""round"": 15, ""accuracy"": 0.3447999954223633, ""loss"": 2.9674272537231445}, {""round"": 18, ""accuracy"": 0.5437999963760376, ""loss"": 1.2578035593032837}, {""round"": 21, ""accuracy"": 0.44530001282691956, ""loss"": 2.225529193878174}, {""round"": 24, ""accuracy"": 0.7447999715805054, ""loss"": 0.9514643549919128}, {""round"": 27, ""accuracy"": 0.7203999757766724, ""loss"": 1.3708935976028442}, {""round"": 30, ""accuracy"": 0.11949999630451202, ""loss"": 14.057926177978516}]"
fedavg_alpha0.1_part0.5,fedavg,0.1,0.5,0.9589999914169312,9,0.9492905557155609,0.03416071212807873,0.8823930621147156,"[{""round"": 1, ""accuracy"": 0.16689999401569366, ""loss"": 5.025749206542969}, {""round"": 3, ""accuracy"": 0.3287999927997589, ""loss"": 2.053532838821411}, {""round"": 6, ""accuracy"": 0.5544999837875366, ""loss"": 1.438184142112732}, {""round"": 9, ""accuracy"": 0.8241999745368958, ""loss"": 0.517102062702179}, {""round"": 12, ""accuracy"": 0.8363000154495239, ""loss"": 0.4545620083808899}, {""round"": 15, ""accuracy"": 0.760699987411499, ""loss"": 0.7870463132858276}, {""round"": 18, ""accuracy"": 0.791700005531311, ""loss"": 0.5962333083152771}, {""round"": 21, ""accuracy"": 0.9405999779701233, ""loss"": 0.188181072473526}, {""round"": 24, ""accuracy"": 0.9498000144958496, ""loss"": 0.1503160446882248}, {""round"": 27, ""accuracy"": 0.9168000221252441, ""loss"": 0.23815956711769104}, {""round"": 30, ""accuracy"": 0.9589999914169312, ""loss"": 0.13027851283550262}]"
fedavg_alpha0.1_part0.8,fedavg,0.1,0.8,0.9718000292778015,9,0.9624045312404632,0.02588082636127066,0.9035925269126892,"[{""round"": 1, ""accuracy"": 0.47279998660087585, ""loss"": 1.709959626197815}, {""round"": 3, ""accuracy"": 0.5554999709129333, ""loss"": 1.5134215354919434}, {""round"": 6, ""accuracy"": 0.7296000123023987, ""loss"": 1.0032589435577393}, {""round"": 9, ""accuracy"": 0.8867999911308289, ""loss"": 0.30639520287513733}, {""round"": 12, ""accuracy"": 0.875, ""loss"": 0.3755177855491638}, {""round"": 15, ""accuracy"": 0.9488999843597412, ""loss"": 0.15499065816402435}, {""round"": 18, ""accuracy"": 0.9524000287055969, ""loss"": 0.14580321311950684}, {""round"": 21, ""accuracy"": 0.9635999798774719, ""loss"": 0.11559643596410751}, {""round"": 24, ""accuracy"": 0.9650999903678894, ""loss"": 0.10516055673360825}, {""round"": 27, ""accuracy"": 0.9496999979019165, ""loss"": 0.15291166305541992}, {""round"": 30, ""accuracy"": 0.9718000292778015, ""loss"": 0.09208788722753525}]"
fedavg_alpha0.1_part1.0,fedavg,0.1,1.0,0.9733999967575073,9,0.9676635146141053,0.023302242179907295,0.9088221788406372,"[{""round"": 1, ""accuracy"": 0.5206999778747559, ""loss"": 1.5395698547363281}, {""round"": 3, ""accuracy"": 0.6572999954223633, ""loss"": 1.288283348083496}, {""round"": 6, ""accuracy"": 0.7434999942779541, ""loss"": 1.0703275203704834}, {""round"": 9, ""accuracy"": 0.8978999853134155, ""loss"": 0.29392874240875244}, {""round"": 12, ""accuracy"": 0.9165999889373779, ""loss"": 0.22449874877929688}, {""round"": 15, ""accuracy"": 0.9585000276565552, ""loss"": 0.13573937118053436}, {""round"": 18, ""accuracy"": 0.9564999938011169, ""loss"": 0.13200944662094116}, {""round"": 21, ""accuracy"": 0.9649999737739563, ""loss"": 0.11481825262308121}, {""round"": 24, ""accuracy"": 0.9659000039100647, ""loss"": 0.10495203733444214}, {""round"": 27, ""accuracy"": 0.9718000292778015, ""loss"": 0.08794945478439331}, {""round"": 30, ""accuracy"": 0.9733999967575073, ""loss"": 0.08283994346857071}]"
fedavg_alpha0.5_part0.2,fedavg,0.5,0.2,0.9559000134468079,9,0.9528557360172272,0.02593172261155959,0.9046767950057983,"[{""round"": 1, ""accuracy"": 0.23499999940395355, ""loss"": 2.5817928314208984}, {""round"": 3, ""accuracy"": 0.4772999882698059, ""loss"": 1.7463363409042358}, {""round"": 6, ""accuracy"": 0.7815999984741211, ""loss"": 0.6015488505363464}, {""round"": 9, ""accuracy"": 0.9068999886512756, ""loss"": 0.31513628363609314}, {""round"": 12, ""accuracy"": 0.8888999819755554, ""loss"": 0.32131579518318176}, {""round"": 15, ""accuracy"": 0.9307000041007996, ""loss"": 0.2175477296113968}, {""round"": 18, ""accuracy"": 0.8478000164031982, ""loss"": 0.4209752380847931}, {""round"": 21, ""accuracy"": 0.9294000267982483, ""loss"": 0.20997783541679382}, {""round"": 24, ""accuracy"": 0.9611999988555908, ""loss"": 0.11748024821281433}, {""round"": 27, ""accuracy"": 0.9678999781608582, ""loss"": 0.102227121591568}, {""round"": 30, ""accuracy"": 0.9559000134468079, ""loss"": 0.13679473102092743}]"
fedavg_alpha0.5_part0.5,fedavg,0.5,0.5,0.972100019454956,6,0.9711190938949585,0.010920233781272205,0.9410187602043152,"[{""round"": 1, ""accuracy"": 0.34869998693466187, ""loss"": 1.7486578226089478}, {""round"": 3, ""accuracy"": 0.7843999862670898, ""loss"": 0.612877607345581}, {""round"": 6, ""accuracy"": 0.8414000272750854, ""loss"": 0.43146196007728577}, {""round"": 9, ""accuracy"": 0.9408000111579895, ""loss"": 0.2014610469341278}, {""round"": 12, ""accuracy"": 0.9381999969482422, ""loss"": 0.19898326694965363}, {""round"": 15, ""accuracy"": 0.9502999782562256, ""loss"": 0.1637904942035675}, {""round"": 18, ""accuracy"": 0.9265999794006348, ""loss"": 0.21478813886642456}, {""round"": 21, ""accuracy"": 0.9614999890327454, ""loss"": 0.12625208497047424}, {""round"": 24, ""accuracy"": 0.9642000198364258, ""loss"": 0.10798443853855133}, {""round"": 27, ""accuracy"": 0.968999981880188, ""loss"": 0.09642311185598373}, {""round"": 30, ""accuracy"": 0.972100019454956, ""loss"": 0.08829143643379211}]"
fedavg_alpha0.5_part0.8,fedavg,0.5,0.8,0.9760000109672546,3,0.9751111805438996,0.004118503232164252,0.9683670997619629,"[{""round"": 1, ""accuracy"": 0.40799999237060547, ""loss"": 1.8514422178268433}, {""round"": 3, ""accuracy"": 0.8019000291824341, ""loss"": 0.6061121821403503}, {""round"": 6, ""accuracy"": 0.8327999711036682, ""loss"": 0.5413463115692139}, {""round"": 9, ""accuracy"": 0.9297000169754028, ""loss"": 0.21634770929813385}, {""round"": 12, ""accuracy"": 0.9538999795913696, ""loss"": 0.1548607349395752}, {""round"": 15, ""accuracy"": 0.9613000154495239, ""loss"": 0.1243848130106926}, {""round"": 18, ""accuracy"": 0.9650999903678894, ""loss"": 0.11109697073698044}, {""round"": 21, ""accuracy"": 0.9697999954223633, ""loss"": 0.0952313244342804}, {""round"": 24, ""accuracy"": 0.9715999960899353, ""loss"": 0.09027907997369766}, {""round"": 27, ""accuracy"": 0.9753999710083008, ""loss"": 0.07745132595300674}, {""round"": 30, ""accuracy"": 0.9760000109672546, ""loss"": 0.0747443437576294}]"
fedavg_alpha0.5_part1.0,fedavg,0.5,1.0,0.9722999930381775,3,0.9716772675514221,0.003420491451276514,0.9658921360969543,"[{""round"": 1, ""accuracy"": 0.4424000084400177, ""loss"": 1.8982306718826294}, {""round"": 3, ""accuracy"": 0.8252999782562256, ""loss"": 0.5543213486671448}, {""round"": 6, ""accuracy"": 0.8974999785423279, ""loss"": 0.341128945350647}, {""round"": 9, ""accuracy"": 0.9142000079154968, ""loss"": 0.27377229928970337}, {""round"": 12, ""accuracy"": 0.9395999908447266, ""loss"": 0.2020634114742279}, {""round"": 15, ""accuracy"": 0.9502999782562256, ""loss"": 0.1618460863828659}, {""round"": 18, ""accuracy"": 0.9585999846458435, ""loss"": 0.13679267466068268}, {""round"": 21, ""accuracy"": 0.9627000093460083, ""loss"": 0.12117685377597809}, {""round"": 24, ""accuracy"": 0.9678000211715698, ""loss"": 0.10332374274730682}, {""round"": 27, ""accuracy"": 0.9696999788284302, ""loss"": 0.09711525589227676}, {""round"": 30, ""accuracy"": 0.9722999930381775, ""loss"": 0.08718708157539368}]"
fedavg_alpha1.0_part0.2,fedavg,1.0,0.2,0.9718000292778015,3,0.972696840763092,0.006445618948894807,0.9629477262496948,"[{""round"": 1, ""accuracy"": 0.48989999294281006, ""loss"": 1.5482956171035767}, {""round"": 3, ""accuracy"": 0.8819000124931335, ""loss"": 0.3989895284175873}, {""round"": 6, ""accuracy"": 0.9279000163078308, ""loss"": 0.24235829710960388}, {""round"": 9, ""accuracy"": 0.9492999911308289, ""loss"": 0.17101818323135376}, {""round"": 12, ""accuracy"": 0.9488999843597412, ""loss"": 0.16564476490020752}, {""round"": 15, ""accuracy"": 0.9613000154495239, ""loss"": 0.1233476921916008}, {""round"": 18, ""accuracy"": 0.9674000144004822, ""loss"": 0.1098768562078476}, {""round"": 21, ""accuracy"": 0.970300018787384, ""loss"": 0.09692778438329697}, {""round"": 24, ""accuracy"": 0.9664999842643738, ""loss"": 0.10591739416122437}, {""round"": 27, ""accuracy"": 0.9765999913215637, ""loss"": 0.07653197646141052}, {""round"": 30, ""accuracy"": 0.9718000292778015, ""loss"": 0.08364662528038025}]"
fedavg_alpha1.0_part0.5,fedavg,1.0,0.5,0.9781000018119812,3,0.9778063297271729,0.004140584555608882,0.9720049500465393,"[{""round"": 1, ""accuracy"": 0.2079000025987625, ""loss"": 1.9622113704681396}, {""round"": 3, ""accuracy"": 0.8841000199317932, ""loss"": 0.39159953594207764}, {""round"": 6, ""accuracy"": 0.932200014591217, ""loss"": 0.23470759391784668}, {""round"": 9, ""accuracy"": 0.9480000138282776, ""loss"": 0.1785842478275299}, {""round"": 12, ""accuracy"": 0.9556000232696533, ""loss"": 0.1499064713716507}, {""round"": 15, ""accuracy"": 0.9645000100135803, ""loss"": 0.11563558131456375}, {""round"": 18, ""accuracy"": 0.9699000120162964, ""loss"": 0.09995377063751221}, {""round"": 21, ""accuracy"": 0.9739000201225281, ""loss"": 0.0855846256017685}, {""round"": 24, ""accuracy"": 0.9769999980926514, ""loss"": 0.0768575593829155}, {""round"": 27, ""accuracy"": 0.9775999784469604, ""loss"": 0.07106103748083115}, {""round"": 30, ""accuracy"": 0.9781000018119812, ""loss"": 0.0675833523273468}]"
fedavg_alpha1.0_part0.8,fedavg,1.0,0.8,0.9779000282287598,3,0.9777722179889679,0.0019948229238473192,0.9742692708969116,"[{""round"": 1, ""accuracy"": 0.5529999732971191, ""loss"": 1.7525705099105835}, {""round"": 3, ""accuracy"": 0.8895999789237976, ""loss"": 0.3840635418891907}, {""round"": 6, ""accuracy"": 0.930899977684021, ""loss"": 0.23460227251052856}, {""round"": 9, ""accuracy"": 0.9513999819755554, ""loss"": 0.16945752501487732}, {""round"": 12, ""accuracy"": 0.9599999785423279, ""loss"": 0.13819295167922974}, {""round"": 15, ""accuracy"": 0.9648000001907349, ""loss"": 0.11724326014518738}, {""round"": 18, ""accuracy"": 0.9690999984741211, ""loss"": 0.09982436895370483}, {""round"": 21, ""accuracy"": 0.9742000102996826, ""loss"": 0.08604956418275833}, {""round"": 24, ""accuracy"": 0.9764999747276306, ""loss"": 0.07853592187166214}, {""round"": 27, ""accuracy"": 0.9782999753952026, ""loss"": 0.07013804465532303}, {""round"": 30, ""accuracy"": 0.9779000282287598, ""loss"": 0.06776975840330124}]"
fedavg_alpha1.0_part1.0,fedavg,1.0,1.0,0.9804999828338623,3,0.9805017173290252,0.0018894468113192801,0.9774635434150696,"[{""round"": 1, ""accuracy"": 0.5455999970436096, ""loss"": 1.723205804824829}, {""round"": 3, ""accuracy"": 0.9061999917030334, ""loss"": 0.3301752805709839}, {""round"": 6, ""accuracy"": 0.9375, ""loss"": 0.20902031660079956}, {""round"": 9, ""accuracy"": 0.9503999948501587, ""loss"": 0.15754833817481995}, {""round"": 12, ""accuracy"": 0.9613999724388123, ""loss"": 0.12430687248706818}, {""round"": 15, ""accuracy"": 0.96670001745224, ""loss"": 0.10293973237276077}, {""round"": 18, ""accuracy"": 0.9702000021934509, ""loss"": 0.09419742226600647}, {""round"": 21, ""accuracy"": 0.9728000164031982, ""loss"": 0.08089561760425568}, {""round"": 24, ""accuracy"": 0.9764999747276306, ""loss"": 0.07391881942749023}, {""round"": 27, ""accuracy"": 0.9787999987602234, ""loss"": 0.06594106554985046}, {""round"": 30, ""accuracy"": 0.9804999828338623, ""loss"": 0.061623767018318176}]"
fedprox_alpha0.05_part0.2,fedprox,0.05,0.2,0.27630001306533813,999,0.3420120496302843,0.25314084038542617,0.02301255241036415,"[{""round"": 1, ""accuracy"": 0.27000001072883606, ""loss"": 8.99608325958252}, {""round"": 3, ""accuracy"": 0.2703000009059906, ""loss"": 5.969561576843262}, {""round"": 6, ""accuracy"": 0.24690000712871552, ""loss"": 4.625752925872803}, {""round"": 9, ""accuracy"": 0.1680999994277954, ""loss"": 2.5489308834075928}, {""round"": 12, ""accuracy"": 0.15060000121593475, ""loss"": 6.407494068145752}, {""round"": 15, ""accuracy"": 0.44200000166893005, ""loss"": 4.04067325592041}, {""round"": 18, ""accuracy"": 0.2612999975681305, ""loss"": 8.53506851196289}, {""round"": 21, ""accuracy"": 0.11089999973773956, ""loss"": 3.7273316383361816}, {""round"": 24, ""accuracy"": 0.2687999904155731, ""loss"": 4.609978675842285}, {""round"": 27, ""accuracy"": 0.4643000066280365, ""loss"": 2.324150562286377}, {""round"": 30, ""accuracy"": 0.27630001306533813, ""loss"": 2.0036518573760986}]"
fedprox_alpha0.05_part0.5,fedprox,0.05,0.5,0.8561000227928162,18,0.9020558357238769,0.10408667375137418,0.6568509340286255,"[{""round"": 1, ""accuracy"": 0.38609999418258667, ""loss"": 2.7493577003479004}, {""round"": 3, ""accuracy"": 0.38109999895095825, ""loss"": 2.3588719367980957}, {""round"": 6, ""accuracy"": 0.583899974822998, ""loss"": 1.6302179098129272}, {""round"": 9, ""accuracy"": 0.6193000078201294, ""loss"": 1.0882587432861328}, {""round"": 12, ""accuracy"": 0.7592999935150146, ""loss"": 0.8952855467796326}, {""round"": 15, ""accuracy"": 0.6618000268936157, ""loss"": 0.9438505172729492}, {""round"": 18, ""accuracy"": 0.8080999851226807, ""loss"": 0.5820412039756775}, {""round"": 21, ""accuracy"": 0.8449000120162964, ""loss"": 0.397090882062912}, {""round"": 24, ""accuracy"": 0.9204999804496765, ""loss"": 0.24853335320949554}, {""round"": 27, ""accuracy"": 0.916700005531311, ""loss"": 0.25977757573127747}, {""round"": 30, ""accuracy"": 0.8561000227928162, ""loss"": 0.41725727915763855}]"
fedprox_alpha0.05_part0.8,fedprox,0.05,0.8,0.9610000252723694,9,0.9575624704360962,0.02216576901265021,0.9214457273483276,"[{""round"": 1, ""accuracy"": 0.24709999561309814, ""loss"": 2.1316332817077637}, {""round"": 3, ""accuracy"": 0.5947999954223633, ""loss"": 1.2762348651885986}, {""round"": 6, ""accuracy"": 0.6251000165939331, ""loss"": 1.0768883228302002}, {""round"": 9, ""accuracy"": 0.8048999905586243, ""loss"": 0.6051967740058899}, {""round"": 12, ""accuracy"": 0.9089999794960022, ""loss"": 0.27266934514045715}, {""round"": 15, ""accuracy"": 0.8946999907493591, ""loss"": 0.3235898017883301}, {""round"": 18, ""accuracy"": 0.9453999996185303, ""loss"": 0.178242489695549}, {""round"": 21, ""accuracy"": 0.9298999905586243, ""loss"": 0.21720801293849945}, {""round"": 24, ""accuracy"": 0.9549999833106995, ""loss"": 0.14626677334308624}, {""round"": 27, ""accuracy"": 0.9557999968528748, ""loss"": 0.13593575358390808}, {""round"": 30, ""accuracy"": 0.9610000252723694, ""loss"": 0.12633895874023438}]"
fedprox_alpha0.05_part1.0,fedprox,0.05,1.0,0.9664000272750854,9,0.9580528020858765,0.02550125766564678,0.9037656784057617,"[{""round"": 1, ""accuracy"": 0.23549999296665192, ""loss"": 2.0423200130462646}, {""round"": 3, ""accuracy"": 0.35429999232292175, ""loss"": 2.2390217781066895}, {""round"": 6, ""accuracy"": 0.6966999769210815, ""loss"": 0.9407079815864563}, {""round"": 9, ""accuracy"": 0.853600025177002, ""loss"": 0.41669410467147827}, {""round"": 12, ""accuracy"": 0.927299976348877, ""loss"": 0.24034592509269714}, {""round"": 15, ""accuracy"": 0.9368000030517578, ""loss"": 0.2099735289812088}, {""round"": 18, ""accuracy"": 0.9545999765396118, ""loss"": 0.15206393599510193}, {""round"": 21, ""accuracy"": 0.9519000053405762, ""loss"": 0.156844824552536}, {""round"": 24, ""accuracy"": 0.9631999731063843, ""loss"": 0.12240386754274368}, {""round"": 27, ""accuracy"": 0.963100016117096, ""loss"": 0.12026352435350418}, {""round"": 30, ""accuracy"": 0.9664000272750854, ""loss"": 0.11137525737285614}]"
fedprox_alpha0.1_part0.2,fedprox,0.1,0.2,0.14409999549388885,999,0.19095564651070163,0.27909501964834965,0.0012048193020746112,"[{""round"": 1, ""accuracy"": 0.10279999673366547, ""loss"": 2.310807943344116}, {""round"": 3, ""accuracy"": 0.2624000012874603, ""loss"": 2.188181161880493}, {""round"": 6, ""accuracy"": 0.15029999613761902, ""loss"": 3.719773530960083}, {""round"": 9, ""accuracy"": 0.3091999888420105, ""loss"": 2.049022912979126}, {""round"": 12, ""accuracy"": 0.325300008058548, ""loss"": 3.969658136367798}, {""round"": 15, ""accuracy"": 0.4864000082015991, ""loss"": 2.299982786178589}, {""round"": 18, ""accuracy"": 0.4878999888896942, ""loss"": 1.5124660730361938}, {""round"": 21, ""accuracy"": 0.5123999714851379, ""loss"": 1.9451228380203247}, {""round"": 24, ""accuracy"": 0.7322999835014343, ""loss"": 0.7851982712745667}, {""round"": 27, ""accuracy"": 0.6963000297546387, ""loss"": 1.1856623888015747}, {""round"": 30, ""accuracy"": 0.14409999549388885, ""loss"": 10.794696807861328}]"
fedprox_alpha0.1_part0.5,fedprox,0.1,0.5,0.9685999751091003,9,0.9595697402954102,0.02389072744953985,0.916141152381897,"[{""round"": 1, ""accuracy"": 0.1826000064611435, ""loss"": 5.025673866271973}, {""round"": 3, ""accuracy"": 0.4325000047683716, ""loss"": 1.8218327760696411}, {""round"": 6, ""accuracy"": 0.5996000170707703, ""loss"": 1.4819095134735107}, {""round"": 9, ""accuracy"": 0.8167999982833862, ""loss"": 0.5462865233421326}, {""round"": 12, ""accuracy"": 0.8475000262260437, ""loss"": 0.4318976104259491}, {""round"": 15, ""accuracy"": 0.7890999913215637, ""loss"": 0.6557677984237671}, {""round"": 18, ""accuracy"": 0.8672000169754028, ""loss"": 0.3852056562900543}, {""round"": 21, ""accuracy"": 0.9528999924659729, ""loss"": 0.14548711478710175}, {""round"": 24, ""accuracy"": 0.9603999853134155, ""loss"": 0.12313259392976761}, {""round"": 27, ""accuracy"": 0.9337999820709229, ""loss"": 0.19835080206394196}, {""round"": 30, ""accuracy"": 0.9685999751091003, ""loss"": 0.10177458077669144}]"
fedprox_alpha0.1_part0.8,fedprox,0.1,0.8,0.9706000089645386,9,0.9652234375476837,0.01871790826968046,0.9342883229255676,"[{""round"": 1, ""accuracy"": 0.4657999873161316, ""loss"": 1.6113630533218384}, {""round"": 3, ""accuracy"": 0.5842999815940857, ""loss"": 1.0570005178451538}, {""round"": 6, ""accuracy"": 0.7117000222206116, ""loss"": 0.7538468837738037}, {""round"": 9, ""accuracy"": 0.8788999915122986, ""loss"": 0.3238595128059387}, {""round"": 12, ""accuracy"": 0.8474000096321106, ""loss"": 0.4654628038406372}, {""round"": 15, ""accuracy"": 0.9363999962806702, ""loss"": 0.18435101211071014}, {""round"": 18, ""accuracy"": 0.9538000226020813, ""loss"": 0.1448460817337036}, {""round"": 21, ""accuracy"": 0.958899974822998, ""loss"": 0.12934716045856476}, {""round"": 24, ""accuracy"": 0.9628999829292297, ""loss"": 0.11114659160375595}, {""round"": 27, ""accuracy"": 0.9599999785423279, ""loss"": 0.11571413278579712}, {""round"": 30, ""accuracy"": 0.9706000089645386, ""loss"": 0.09240572899580002}]"
